This file contains the S&P 500 straddle returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,,,,,,,
The dates are in YYYYMMDD format,,,,,,,,,,,,
r_K^{straddle} gives the daily return of a long constant-maturity at the money straddle strategy with target maturity K months,,,,,,,,,,,,
r_K^{short straddle} gives the daily return of a short straddle strategy assuming a margin requirement equal to 20% of the current S&P 500 index level,,,,,,,,,,,,
Returns are in percent,,,,,,,,,,,,
,,,,,,,,,,,,
Date,r_1^{straddle},r_2^{straddle},r_3^{straddle},r_6^{straddle},r_9^{straddle},r_12^{straddle},r_1^{short straddle},r_2^{short straddle},r_3^{short straddle},r_6^{short straddle},r_9^{short straddle},r_12^{short straddle}
19961011,-0.345,1.287,1.875,1.933,1.436,0.875,0.055,-0.294,-0.529,-0.81,-0.75,-0.519
19961014,-4.284,-2.657,-1.474,-0.197,-0.714,0.348,0.618,0.586,0.412,0.082,0.357,-0.204
19961015,3.03,1.207,1.204,1.153,0.047,-0.719,-0.457,-0.267,-0.328,-0.458,-0.023,0.424
19961016,-1.441,-0.332,-0.557,-0.285,1.1,0.043,0.227,0.075,0.154,0.115,-0.548,-0.025
19961017,-1.127,1.262,1.121,0.347,0.315,0.577,0.177,-0.279,-0.304,-0.139,-0.158,-0.338
19961018,-0.519,1.001,0.297,-0.747,-0.091,0.589,0.078,-0.225,-0.082,0.301,0.046,-0.347
19961021,0.232,-0.526,0.062,1.016,1.428,1.485,-0.034,0.117,-0.017,-0.406,-0.717,-0.863
19961022,-0.516,0.963,1.537,0.207,-0.398,0.165,0.082,-0.22,-0.432,-0.084,0.204,-0.098
19961023,-2.32,-0.334,0.524,0.024,0.325,0.132,0.382,0.079,-0.154,-0.01,-0.167,-0.08
19961024,3.186,0.226,0.78,1.39,-0.154,-0.715,-0.504,-0.054,-0.226,-0.571,0.08,0.431
19961025,-3.231,-0.41,0.569,0.053,-0.043,0.147,0.545,0.1,-0.17,-0.022,0.022,-0.089
