date,factor,hump_value,mid_maturity,short_maturity,long_maturity
2001-09-25,gamma0,0.0003873669315150104,6m,1m,12m
2001-09-26,gamma0,0.00043037416577339384,6m,1m,12m
2001-09-27,gamma0,0.0003759768748716034,6m,1m,12m
2001-09-28,gamma0,0.0003430631353128345,6m,1m,12m
2001-10-01,gamma0,0.00030900002203186546,6m,1m,12m
2001-10-02,gamma0,0.00025564040427504667,6m,1m,12m
2001-10-03,gamma0,0.00025475829319034993,6m,1m,12m
2001-10-04,gamma0,0.0003164027895847857,6m,1m,12m
2001-10-05,gamma0,0.00038821826235608593,6m,1m,12m
2001-10-08,gamma0,0.00044221213844168036,6m,1m,12m
2001-10-09,gamma0,0.0004150020162523074,6m,1m,12m
2001-10-10,gamma0,0.00031421533015914385,6m,1m,12m
2001-10-11,gamma0,0.0002938746450529083,6m,1m,12m
2001-10-12,gamma0,0.0004108078887850157,6m,1m,12m
2001-10-17,gamma0,0.00036395418378208183,6m,1m,12m
2001-10-18,gamma0,0.00035430978966898756,6m,1m,12m
2001-10-19,gamma0,0.00036410459311596397,6m,1m,12m
2001-10-22,gamma0,0.0003180196733899244,6m,1m,12m
2001-10-23,gamma0,0.0002572838932352825,6m,1m,12m
2001-10-24,gamma0,0.0002846337236608007,6m,1m,12m
2001-10-25,gamma0,0.000206956969940685,6m,1m,12m
2001-10-26,gamma0,0.0002448340194294013,6m,1m,12m
2001-10-29,gamma0,0.00030016588336273194,6m,1m,12m
2001-10-30,gamma0,0.00032158166870476125,6m,1m,12m
2001-10-31,gamma0,0.0003193940423935169,6m,1m,12m
2001-11-01,gamma0,0.00025870905513103535,6m,1m,12m
2001-11-02,gamma0,0.00020068763348383495,6m,1m,12m
2001-11-05,gamma0,0.00018595354696517046,6m,1m,12m
2001-11-06,gamma0,0.00016627578599009293,6m,1m,12m
2001-11-07,gamma0,0.00014025943727887804,6m,1m,12m
2001-11-08,gamma0,0.0001108753561626933,6m,1m,12m
2001-11-09,gamma0,6.915309119265128e-05,6m,1m,12m
2001-11-21,gamma0,9.576704254426719e-06,6m,1m,12m
2001-11-23,gamma0,1.7827026503136292e-06,6m,1m,12m
2001-11-26,gamma0,3.297046688112678e-05,6m,1m,12m
2001-11-27,gamma0,1.9574433875799095e-05,6m,1m,12m
2001-11-28,gamma0,0.00010181643518186118,6m,1m,12m
2001-11-29,gamma0,2.8744826499160986e-05,6m,1m,12m
2001-11-30,gamma0,-1.6901026727251247e-05,6m,1m,12m
2001-12-03,gamma0,0.00011316755779285431,6m,1m,12m
2001-12-04,gamma0,2.695739718818079e-05,6m,1m,12m
2001-12-05,gamma0,3.475193936276994e-05,6m,1m,12m
2001-12-06,gamma0,1.3885416380460198e-05,6m,1m,12m
2001-12-07,gamma0,4.118551763750681e-05,6m,1m,12m
2001-12-10,gamma0,0.0001544819675848693,6m,1m,12m
2001-12-11,gamma0,0.00012219165037537357,6m,1m,12m
2001-12-12,gamma0,4.977582399531919e-05,6m,1m,12m
2001-12-13,gamma0,0.00016653074966497817,6m,1m,12m
2001-12-14,gamma0,4.13927200124151e-05,6m,1m,12m
2001-12-19,gamma0,-3.758355894571067e-06,6m,1m,12m
2001-12-20,gamma0,3.186033729703895e-05,6m,1m,12m
2001-12-21,gamma0,-5.9895901866355266e-05,6m,1m,12m
2001-12-24,gamma0,-5.281518429121572e-05,6m,1m,12m
2001-12-26,gamma0,-9.177060197991666e-05,6m,1m,12m
2001-12-27,gamma0,-0.00011382985564897048,6m,1m,12m
2001-12-28,gamma0,-0.00012896565243829893,6m,1m,12m
2001-12-31,gamma0,-5.196268948600655e-05,6m,1m,12m
2002-01-02,gamma0,-2.6994791109193307e-05,6m,1m,12m
2002-01-03,gamma0,-0.00012178453892879242,6m,1m,12m
2002-01-04,gamma0,-0.0001432088557890306,6m,1m,12m
2002-01-07,gamma0,-0.00010482026423372353,6m,1m,12m
2002-01-08,gamma0,-8.62541069896105e-05,6m,1m,12m
2002-01-09,gamma0,-3.226128594173628e-05,6m,1m,12m
2002-01-10,gamma0,-3.786199655986804e-05,6m,1m,12m
2002-01-11,gamma0,-5.6548969403808306e-05,6m,1m,12m
2002-01-16,gamma0,4.024934243111946e-05,6m,1m,12m
2002-01-17,gamma0,-4.1791228840543744e-05,6m,1m,12m
2002-01-18,gamma0,-1.3198188420650879e-05,6m,1m,12m
2002-01-22,gamma0,-7.737281072496116e-06,6m,1m,12m
2002-01-23,gamma0,-2.5368812086316184e-05,6m,1m,12m
2002-01-24,gamma0,-5.74018146527745e-05,6m,1m,12m
2002-01-25,gamma0,-4.924259098189622e-05,6m,1m,12m
2002-01-28,gamma0,-4.482005702457985e-06,6m,1m,12m
2002-01-29,gamma0,0.00010916830412799382,6m,1m,12m
